Model,E-Tool,E-Exe,E-Num,E-Text,E-Vis,O-Tool,O-Exe,O-Num,O-Text,O-Vis,Avg,opensourced
Llama-2-7B-Chat,80.6,28.8,10.1,10.4,17.4,92.7,41.5,22.4,31.2,24.8,19.4,FALSE
Yi-6B-Chat,90.6,50.2,22.5,21.7,31.1,99.7,61.5,29.5,40.8,40.2,31.0,FALSE
ChatGLM3-6B-32K,77.9,48.8,18.9,33.0,29.3,98.6,55.7,28.2,52.0,34.2,32.6,FALSE
Vicuna-7B-v1.5-16k,89.4,54.5,19.9,27.1,32.7,99.9,62.9,29.3,43.8,43.1,32.7,FALSE
DeepSeek-7B-Chat,62.9,45.3,16.0,17.4,30.8,93.8,67.1,33.0,56.7,48.5,33.7,FALSE
Qwen-7B-Chat,99.8,72.2,42.3,55.7,43.9,97.9,71.9,36.6,58.1,52.1,48.1,FALSE
Mistral-7b-Instruct,97.5,67.2,41.9,53.6,41.7,99.2,75.7,48.0,55.4,49.1,48.3,FALSE
Qwen1.5-7B-Chat,99.1,69.9,35.4,59.1,39.1,99.8,75.9,48.6,61.7,52.1,49.3,FALSE
InternLM2-7B-Chat,99.7,77.7,52.6,64.6,51.8,99.3,70.4,48.1,44.3,42.9,50.7,FALSE
DeepSeek-Coder-6.7B,75.9,66.0,40.7,48.5,47.7,96.8,83.0,59.2,77.2,62.5,56.0,FALSE
Llama-3-8B-Instruct,98.5,78.6,55.6,70.8,54.6,95.5,84.5,60.4,83.7,61.4,64.4,FALSE
Llama-2-13B-Chat,90.7,42.7,12.1,14.8,24.0,99.0,52.4,28.9,31.0,29.3,23.4,FALSE
Vicuna-13B-v1.5-16k,91.0,62.2,25.9,45.4,35.4,99.9,72.1,39.7,45.2,45.9,39.6,FALSE
Qwen-14B-Chat,93.1,70.9,48.2,60.7,48.7,99.2,82.4,55.5,74.6,57.3,57.5,FALSE
Qwen1.5-14B-Chat,99.7,84.8,56.9,63.3,51.4,99.9,92.7,61.7,62.6,63.1,59.8,FALSE
Mixtral-8x7B-Instruct,99.1,83.0,45.4,55.9,53.0,99.9,88.6,67.5,73.5,67.0,60.4,FALSE
InternLM2-20B-Chat,96.6,82.2,47.5,67.2,47.1,96.7,81.0,60.4,85.0,56.7,60.6,FALSE
Yi-34B-Chat,92.9,66.2,42.2,40.3,42.2,99.8,77.2,68.2,72.2,52.7,53.0,FALSE
Llama-2-70B-Chat,92.4,53.8,23.7,22.7,24.9,94.2,61.6,36.7,36.0,35.6,29.9,FALSE
DeepSeek-67B-Chat,76.9,70.7,47.5,63.3,54.8,91.1,82.8,60.6,74.7,63.8,60.8,FALSE
Qwen-72B-Chat,98.3,87.2,60.5,73.2,55.9,99.7,90.1,62.8,73.6,64.9,65.1,FALSE
Llama-3-70B-Instruct,98.0,91.1,64.9,55.7,63.6,96.6,82.8,72.9,74.2,62.0,65.5,FALSE
gpt-4o,100.0,97.2,74.1,79.0,61.1,99.2,94.8,81.7,79.7,71.6,74.5,TRUE
GPT-4-1106-preview,99.8,98.6,77.8,78.9,64.0,99.6,97.7,77.5,81.6,73.1,75.5,TRUE
